timestamp,T_Ambient_Actual,T_Pinda_Actual,T_Bed_Setpoint,Power_Bed,T_Bed_Actual,Speed_Fan_Hotend,Speed_Fan_Part,PWM_Fan_Hotend,PWM_Fan_Part,T_Hotend_Setpoint,Power_Hotend,T_Hotend_Actual,T_Tool_Actual,T_Tool_Setpoint,StepperOnOff,X_Setpoint,Y_Setpoint,Z_Setpoint,E_Setpoint,F_Setpoint
2023-10-02 12:32:33.629000+00:00,44.7,35.9,60.0,19.0,60.0,4320.0,4440.0,255.0,255.0,210.0,125.0,208.8,208.8,210.0,1.0,110.619,90.573,22.7,73753.66081003389,2100.0
2024-01-18 11:09:30.239000+00:00,42.5,35.4,60.0,14.0,60.0,4380.0,4320.0,255.0,255.0,195.0,97.0,195.1,195.1,195.0,1.0,119.013,108.904,71.2,40894.84092999657,4816.0
2023-11-06 10:39:20.800000+00:00,42.2,34.0,60.0,66.0,59.8,4260.0,4500.0,255.0,255.0,215.0,117.0,214.8,214.8,215.0,1.0,62.468,121.505,4.4,127837.69201990208,8640.0
2024-01-15 12:27:42.231000+00:00,38.3,28.9,60.0,57.0,59.9,4200.0,4500.0,255.0,255.0,215.0,127.0,212.2,212.2,215.0,1.0,75.859,120.416,2.4,17436.721319996264,3600.0
2023-10-02 09:26:17.591000+00:00,42.7,35.1,60.0,53.0,59.9,4260.0,4380.0,255.0,255.0,210.0,115.0,210.2,210.2,210.0,1.0,173.29,110.966,1.1,64187.01008002819,12000.0
2023-10-09 12:43:31.200000+00:00,36.2,29.6,0.0,0.0,35.6,0.0,0.0,0.0,0.0,0.0,0.0,45.1,45.1,0.0,0.0,0.0,200.0,32.45,85552.7734498615,3000.0
2023-11-29 13:05:38.723000+00:00,43.0,47.3,90.0,71.0,89.9,4380.0,2820.0,255.0,76.0,243.0,74.0,243.3,243.3,243.0,1.0,125.276,96.373,19.0,277032.77955072507,2400.0
2024-01-15 14:34:03.919000+00:00,40.5,30.2,60.0,54.0,59.9,4200.0,4260.0,255.0,255.0,215.0,118.0,214.8,214.8,215.0,1.0,118.931,89.83,9.2,25053.68416999397,1500.0
2023-11-14 10:45:24.973000+00:00,42.2,33.7,60.0,50.0,59.9,4320.0,4200.0,255.0,255.0,210.0,98.0,210.6,210.6,210.0,1.0,90.209,107.438,4.85,144325.12585989034,8640.0
2023-03-29 12:27:24.860000+00:00,38.7,32.0,60.0,40.0,60.0,4260.0,4320.0,255.0,255.0,215.0,124.0,214.1,214.1,215.0,1.0,95.935,120.082,8.2,11489.164639998253,3600.0
2023-10-12 13:33:29.348000+00:00,47.1,38.4,90.0,32.0,90.3,4320.0,3600.0,255.0,124.0,243.0,106.0,242.6,242.6,243.0,1.0,148.881,68.95,65.3,113398.23572982576,5865.0
2023-10-11 08:39:40.799000+00:00,43.6,35.3,60.0,40.0,60.0,4260.0,4500.0,255.0,255.0,210.0,111.0,210.2,210.2,210.0,1.0,161.84,100.029,6.05,87028.14291985516,2100.0
2023-11-29 12:53:18.918000+00:00,42.8,47.6,90.0,76.0,89.9,4380.0,2880.0,255.0,76.0,243.0,92.0,242.5,242.5,243.0,1.0,63.804,95.065,17.8,276539.8373906591,2400.0
2023-10-12 11:52:31.589000+00:00,47.8,42.5,90.0,70.0,90.0,4380.0,3060.0,255.0,94.0,243.0,63.0,245.4,245.4,243.0,1.0,94.792,62.131,32.0,109582.58066986088,7658.989
